customer_id,wellness_score,Financial Literacy Score,Aptitude for change Score,age_at_disbursement,debt_to_income_ratio,Actual_activities_count,Predicted_activities_count,Residual,True_Engagement_Level,Predicted_Engagement_Level,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability,Engagement_Score,Repayment_Risk_Score,CIS,CIS_Segment
16248,63.0,4.0,3.17,41.0,0.2087210648148148,8,8.000660987068919,-0.0006609870689189279,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.04850369491162863,2,1,1.4500000000000002,Segment B
16248,65.0,4.0,3.17,41.0,0.2087210648148148,7,7.941785594987961,-0.9417855949879614,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.04850369491162863,2,1,1.4500000000000002,Segment B
16248,57.0,4.0,3.17,41.0,0.2087210648148148,9,8.177287163311792,0.8227128366882077,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.04850369491162863,2,1,1.4500000000000002,Segment B
16248,50.0,4.0,3.17,41.0,0.2087210648148148,8,8.383351035595146,-0.3833510355951457,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.04850369491162863,2,1,1.4500000000000002,Segment B
11250,65.0,2.0,2.83,54.0,0.1910077279752705,8,10.114953579886897,-2.1149535798868975,Medium Engagement,High Engagement,Low Risk,Low Risk,0.07050151339894493,3,1,1.9000000000000001,Segment B
11250,68.0,2.0,2.83,54.0,0.1910077279752705,8,10.026640491765459,-2.026640491765459,Medium Engagement,High Engagement,Low Risk,Low Risk,0.07050151339894493,3,1,1.9000000000000001,Segment B
11250,72.0,2.0,2.83,54.0,0.1910077279752705,8,9.908889707603544,-1.908889707603544,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.07050151339894493,2,1,1.4500000000000002,Segment B
15583,68.0,5.0,4.5,30.0,0.2749725,10,6.10328275403112,3.8967172459688797,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.05954804117937789,2,1,1.4500000000000002,Segment B
15583,76.0,5.0,4.5,30.0,0.2749725,9,5.867781185707289,3.1322188142927114,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.05954804117937789,2,1,1.4500000000000002,Segment B
15583,82.0,5.0,4.5,30.0,0.2749725,3,5.691155009464415,-2.691155009464415,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.05954804117937789,2,1,1.4500000000000002,Segment B
14913,50.0,3.0,4.0,39.0,0.4285657056145675,8,8.871654058903346,-0.8716540589033457,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.20024467741000912,2,1,1.4500000000000002,Segment B
15989,48.0,3.0,4.17,29.0,0.6066186666666666,8,8.463667557532327,-0.463667557532327,Medium Engagement,Medium Engagement,Low Risk,High Risk,0.6354335183145425,2,3,2.5500000000000003,Segment A
15989,48.0,3.0,4.17,29.0,0.6066186666666666,4,8.463667557532327,-4.463667557532327,Low Engagement,Medium Engagement,Low Risk,High Risk,0.6354335183145425,2,3,2.5500000000000003,Segment A
15989,53.0,3.0,4.17,29.0,0.6066186666666666,8,8.316479077329932,-0.31647907732993197,Medium Engagement,Medium Engagement,Low Risk,High Risk,0.6354335183145425,2,3,2.5500000000000003,Segment A
15989,38.0,3.0,4.17,29.0,0.6066186666666666,1,8.758044517937117,-7.758044517937117,Low Engagement,Medium Engagement,Low Risk,High Risk,0.6354335183145425,2,3,2.5500000000000003,Segment A
1280,53.0,0.0,5.0,43.0,0.10376901554404144,18,9.896938002010108,8.103061997989892,High Engagement,Medium Engagement,Low Risk,Low Risk,0.2102971106893484,2,1,1.4500000000000002,Segment B
1280,65.0,0.0,5.0,43.0,0.10376901554404144,8,9.543685649524361,-1.5436856495243614,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.2102971106893484,2,1,1.4500000000000002,Segment B
1280,60.0,0.0,5.0,43.0,0.10376901554404144,10,9.690874129726756,0.30912587027324356,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.2102971106893484,2,1,1.4500000000000002,Segment B
1280,63.0,0.0,5.0,43.0,0.10376901554404144,13,9.60256104160532,3.3974389583946802,High Engagement,Medium Engagement,Low Risk,Low Risk,0.2102971106893484,2,1,1.4500000000000002,Segment B
15744,48.0,4.0,3.5,32.0,0.19447955555555554,9,7.667282004134806,1.3327179958651936,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.026395871204988455,2,1,1.4500000000000002,Segment B
15744,50.0,4.0,3.5,32.0,0.19447955555555554,3,7.608406612053849,-4.608406612053849,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.026395871204988455,2,1,1.4500000000000002,Segment B
